producer_id,consumer_id,created_at
550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440006,2025-11-01 10:30:00
550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440006,2025-11-01 11:15:00
550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440007,2025-11-02 09:20:00
550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440007,2025-11-02 14:10:00
550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440008,2025-11-03 08:20:00
550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440008,2025-11-03 13:30:00
550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440009,2025-11-04 11:25:00
550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440009,2025-11-05 15:45:00
550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440010,2025-11-06 09:00:00
550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440010,2025-11-07 14:05:00
